id,tipo,titulo,descricao,autor,data,duracao,origem,rito,grau,ordem,tags,url,youtube_id,thumbnail,transcricao_status,acesso,perguntas_aprofundamento,publicado_por,publicado_em,anexos
video-Gt4wdf3B7jc,video,FILOSOFIA PERENE - 2ª PARTE,,Roberto Zardo,2026-03-08,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=Gt4wdf3B7jc,Gt4wdf3B7jc,https://img.youtube.com/vi/Gt4wdf3B7jc/hqdefault.jpg,pendente,,,,,
video-hHNqGAYMcVI,video,A evolução no conhecimento das partículas,,Cláudio Melo,2026-03-22,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=hHNqGAYMcVI,hHNqGAYMcVI,https://img.youtube.com/vi/hHNqGAYMcVI/hqdefault.jpg,pendente,,,,,
video-h8uUaqZnJZs,video,Porque continuar na Maçonaria,,Domingos Léo Monteiro,2026-03-29,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=h8uUaqZnJZs,h8uUaqZnJZs,https://img.youtube.com/vi/h8uUaqZnJZs/hqdefault.jpg,pendente,,,,,
video-_z8APBTlEm8,video,A Geometria Sagrada,,Mauro Leray,2025-03-05,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=_z8APBTlEm8,_z8APBTlEm8,https://img.youtube.com/vi/_z8APBTlEm8/hqdefault.jpg,pendente,,,,,
video-8CdB_J72JEI,video,Os Chakras no Rito Adonhiramita,,Sérgio Emilião,2025-03-12,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=8CdB_J72JEI,8CdB_J72JEI,https://img.youtube.com/vi/8CdB_J72JEI/hqdefault.jpg,pendente,,,,,
video-VsS_8cY29SU,video,"Conheça seus Eruditos Contemporâneos: Jerônimo Borges, Raimundo Rodrigues e Boanerges de Castro",,"Adilson Zotovici, Oduwaldo Álvaro e José Airton de Carvalho",2025-03-26,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=VsS_8cY29SU,VsS_8cY29SU,https://img.youtube.com/vi/VsS_8cY29SU/hqdefault.jpg,pendente,,,,,
video--LP-4tuF6cM,video,A Espada no Rito Adonhiramita,,Sérgio Emilião,2025-04-02,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=-LP-4tuF6cM,-LP-4tuF6cM,https://img.youtube.com/vi/-LP-4tuF6cM/hqdefault.jpg,pendente,,,,,
video-1SXQAzx0VF0,video,Salmo 133,,Fabiano Silvestri,2025-04-16,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=1SXQAzx0VF0,1SXQAzx0VF0,https://img.youtube.com/vi/1SXQAzx0VF0/hqdefault.jpg,pendente,,,,,
video-wfe2gaCEA2Q,video,A Maçonaria e a Evolução Social e Comercial na Europa,,Erivelto Luis de Souza,2025-04-30,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=wfe2gaCEA2Q,wfe2gaCEA2Q,https://img.youtube.com/vi/wfe2gaCEA2Q/hqdefault.jpg,pendente,,,,,
video-okERG7bs6X0,video,Mistagogia e Formação Maçônica,,Cídio Lopes de Almeida,2025-05-21,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=okERG7bs6X0,okERG7bs6X0,https://img.youtube.com/vi/okERG7bs6X0/hqdefault.jpg,pendente,,,,,
