id,tipo,titulo,descricao,autor,data,origem,rito,grau,ordem,tags,url,youtube_id,thumbnail,transcricao_status,acesso,perguntas_aprofundamento,publicado_por,publicado_em,anexos
video-u033,video,As sete virtudes de um não DeMolay,Sessão de estudos do Grupo de Estudos Urânia.,Marcio Silva,2025-11-08,Grupo de Estudos Urânia,,,,DeMolay,https://www.youtube.com/watch?v=UmqNcfAaFK4,UmqNcfAaFK4,https://img.youtube.com/vi/UmqNcfAaFK4/hqdefault.jpg,pendente,publico,,Rogério,,
video-u034,video,O Sigilo na Maçonaria,Sessão de estudos do Grupo de Estudos Urânia.,,2025-11-01,Grupo de Estudos Urânia,,,,instrumentos; ritualística,https://www.youtube.com/watch?v=2V4BR5n__LA,2V4BR5n__LA,https://img.youtube.com/vi/2V4BR5n__LA/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1dyplTF3u0r3Q8NiEyI9Q0reiaP1UvMOV/view
video-u035,video,O Pavimento Mosaico: Símbolo da Dualidade e da Harmonia Maçônica,Sessão de estudos do Grupo de Estudos Urânia.,,2025-10-25,Grupo de Estudos Urânia,,,,simbolismo; instrumentos,https://www.youtube.com/watch?v=pxNO3bwpT3M,pxNO3bwpT3M,https://img.youtube.com/vi/pxNO3bwpT3M/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1gSjYaXVhTia5i0LfZE_ZBmjr45bH8H1Z/view
video-u036,video,O Escrutínio Secreto na Maçonaria,Sessão de estudos do Grupo de Estudos Urânia.,,2025-10-18,Grupo de Estudos Urânia,,,,instrumentos; ritualística,https://www.youtube.com/watch?v=1hloTol4VGI,1hloTol4VGI,https://img.youtube.com/vi/1hloTol4VGI/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1Y_Y4ZrtNR0HBpoA_GXBt5zhAApcTHmnO/view
video-u037,video,Entre Colunas - o Espaço Sagrado da Verdade e do Equilíbrio Maçônico,Sessão de estudos do Grupo de Estudos Urânia.,,2025-10-11,Grupo de Estudos Urânia,,,,instrumentos; simbolismo,https://www.youtube.com/watch?v=1mHFEF9d564,1mHFEF9d564,https://img.youtube.com/vi/1mHFEF9d564/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1Tg8OOubMrd8jNCVrhtXPRbx5COOW0tSg/view
video-u038,video,A Jornada Maçônica e o Significado do Aumento de Salário,Sessão de estudos do Grupo de Estudos Urânia.,,2025-10-04,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=VVwSsEsVEgA,VVwSsEsVEgA,https://img.youtube.com/vi/VVwSsEsVEgA/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/19JU7j0dbTmlRFQdwN5pxMv_IX9Mink-K/view
video-u039,video,O Significado do Perjúrio na Maçonaria,Sessão de estudos do Grupo de Estudos Urânia.,,2025-09-27,Grupo de Estudos Urânia,,,,instrumentos; ritualística,https://www.youtube.com/watch?v=PGtIV-COj2Y,PGtIV-COj2Y,https://img.youtube.com/vi/PGtIV-COj2Y/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1km1g8iyGfQm5H1Py_TkbFIBWNePMRkej/view
video-u040,video,A Força e a Razão: O Simbolismo do Maço e do Cinzel,Sessão de estudos do Grupo de Estudos Urânia.,,2025-09-20,Grupo de Estudos Urânia,,,,simbolismo; instrumentos,https://www.youtube.com/watch?v=0L5FUQxIjvI,0L5FUQxIjvI,https://img.youtube.com/vi/0L5FUQxIjvI/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/11qdpw9PMqUmD0XX9p8DYscSZsjGkh3n0/view
video-u041,video,A Régua Maçônica,Sessão de estudos do Grupo de Estudos Urânia.,,2025-09-13,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=cMzMCaKVSns,cMzMCaKVSns,https://img.youtube.com/vi/cMzMCaKVSns/hqdefault.jpg,pendente,publico,,Rogério,,https://drive.google.com/file/d/1uO6O8FCgDf4i0VRctG1lzE5bF6Ncj09s/view
video-u042,video,O Compasso,Sessão de estudos do Grupo de Estudos Urânia.,,2025-09-06,Grupo de Estudos Urânia,,,,instrumentos,https://www.youtube.com/watch?v=gNGRmqEmDqY,gNGRmqEmDqY,https://img.youtube.com/vi/gNGRmqEmDqY/hqdefault.jpg,pendente,publico,,Rogério,,
